Wind MFI data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs            B          Bx          By          Bz
                               nT          nT          nT          nT
2012  1     30000          4.86         4.33         1.51         1.55
2012  1     90000          4.63         4.26         1.56         0.92
2012  1    150000          4.53         4.15         1.70         0.60
2012  1    210000          4.53         4.10         1.88         0.34
2012  1    270000          4.51         3.98         2.09         0.24
2012  1    330000          4.53         3.87         2.34         0.12
2012  1    390000          4.43         3.81         2.14         0.49
2012  1    450000          4.36         3.76         2.15         0.54
2012  1    510000          4.37         3.70         2.28         0.43
2012  1    570000          4.33         3.60         2.37         0.39
2012  1    630000          4.54         3.70         2.62         0.24
2012  1    690000          4.66         3.66         2.88         0.12
2012  1    750000          4.89         2.28         3.70        -1.17
2012  1    810000          5.03         0.76         4.16        -2.59
2012  1    870000          5.01         1.01         4.66        -1.47
2012  1    930000          4.93         1.46         4.41        -1.62
2012  1    990000          4.75         1.36         4.21        -1.56
2012  1   1050000          4.66         2.85         3.58        -0.63
2012  1   1110000          4.57         3.29         2.92        -0.15
2012  1   1170000          4.53         3.87         2.31         0.25
2012  1   1230000          4.25         3.38         2.55         0.14
2012  1   1290000          4.23         3.35         2.58        -0.18
2012  1   1350000          4.35         3.24         2.87        -0.28
2012  1   1410000          4.48         2.99         2.92        -0.15
2012  1   1470000          4.67        -0.64         3.94        -2.39
2012  1   1530000          4.77         0.13         4.12        -2.38
2012  1   1590000          4.74         0.34         4.19        -2.18
2012  1   1650000          4.55         0.84         4.04        -1.89
2012  1   1710000          4.50         0.88         4.00        -1.84
2012  1   1770000          4.53         1.19         3.98        -1.79
2012  1   1830000           NaN          NaN          NaN          NaN
2012  1   1890000           NaN          NaN          NaN          NaN
2012  1   1950000          4.41         2.51         3.58        -0.43
2012  1   2010000          4.48         2.07         3.87        -0.83
2012  1   2070000          4.18         1.73         3.58        -1.25
2012  1   2130000          4.28         1.18         3.45        -1.90
2012  1   2190000          4.58         0.87         2.94        -3.36
2012  1   2250000          4.68         0.36         3.40        -2.86
2012  1   2310000          4.47        -0.13         3.76        -2.29
2012  1   2370000          4.44        -0.77         3.76        -2.24
2012  1   2430000          4.45        -0.78         3.79        -2.18
2012  1   2490000          4.35        -0.71         3.64        -1.98
2012  1   2550000          4.26        -0.10         3.52        -2.34
2012  1   2610000          4.41        -1.13         3.28        -2.62
2012  1   2670000          4.25        -0.11         3.49        -2.41
2012  1   2730000          4.28        -0.17         3.47        -2.50
2012  1   2790000          4.19        -0.40         3.44        -2.26
2012  1   2850000          4.10         0.46         3.49        -2.07
2012  1   2910000          4.08         1.06         3.53        -1.73
2012  1   2970000          4.10         0.00         3.39        -1.93
2012  1   3030000          4.05         0.22         3.21        -2.07
2012  1   3090000          4.06        -0.31         2.48        -2.85
2012  1   3150000          4.03        -1.39         2.90        -2.24
2012  1   3210000          4.24        -1.63         3.17        -2.21
2012  1   3270000          4.31        -1.29         2.85        -2.88
2012  1   3330000          4.22        -1.71         2.76        -2.65
2012  1   3390000          4.19        -1.27         3.63        -1.33
2012  1   3450000          4.38        -1.40         3.82        -1.22
2012  1   3510000          4.40        -1.46         3.25        -2.49
2012  1   3570000          4.42        -1.41         3.46        -2.28
2012  1   3630000          4.40        -0.79         3.77        -2.04
2012  1   3690000          4.41        -1.59         3.57        -2.00
2012  1   3750000          4.51        -1.69         3.53        -2.23
2012  1   3810000          4.55        -1.68         3.44        -2.44
2012  1   3870000          4.56        -2.01         3.17        -2.58
2012  1   3930000          4.00        -1.42         3.29        -1.70
2012  1   3990000          3.71        -1.03         3.33        -1.26
2012  1   4050000          3.64        -1.08         3.27        -1.17
2012  1   4110000          3.60        -1.00         3.29        -1.06
2012  1   4170000          3.77        -1.04         3.45        -1.12
2012  1   4230000          3.72        -1.02         3.41        -1.08
2012  1   4290000          3.92        -1.45         3.37        -1.34
2012  1   4350000          3.99        -1.56         3.41        -1.34
2012  1   4410000          3.91        -1.31         3.45        -1.28
2012  1   4470000          3.93        -1.33         3.35        -1.55
2012  1   4530000          4.41        -1.63         3.92        -0.93
2012  1   4590000          4.81        -2.11         4.24        -0.84
2012  1   4650000          4.80        -2.14         4.09        -1.26
2012  1   4710000          4.93        -2.35         4.10        -1.39
2012  1   4770000          4.88        -2.92         3.62        -1.47
2012  1   4830000          4.83        -2.63         3.67        -1.60
2012  1   4890000          4.91        -2.07         4.13        -1.64
2012  1   4950000          4.86        -3.12         3.23        -1.81
2012  1   5010000          4.76        -2.78         3.43        -1.77
2012  1   5070000          4.82        -2.66         3.68        -1.58
2012  1   5130000          4.72        -2.83         3.50        -1.35
2012  1   5190000          4.53        -2.80         3.31        -1.27
2012  1   5250000          4.54        -2.50         3.51        -1.29
2012  1   5310000          4.41        -2.02         3.50        -1.31
2012  1   5370000          4.14        -1.81         3.56        -0.97
2012  1   5430000          4.19        -2.03         3.51        -0.91
2012  1   5490000          4.20        -2.81         2.59        -1.68
2012  1   5550000          4.01        -2.11         3.08        -0.90
2012  1   5610000          4.18        -2.70         2.68        -1.13
2012  1   5670000          4.35        -0.15         4.01         1.46
2012  1   5730000          4.38         0.05         4.20         1.23
2012  1   5790000          4.54        -0.07         4.19         1.70
2012  1   5850000          4.49         0.26         4.01         1.98
2012  1   5910000          4.50         0.53         3.84         2.25
2012  1   5970000          4.53         0.89         3.86         2.19
2012  1   6030000          4.38         1.01         3.53         2.38
2012  1   6090000          4.07        -1.54         3.51         0.31
2012  1   6150000          4.56        -2.84         3.45        -0.78
2012  1   6210000          4.93        -3.07         3.82        -0.45
2012  1   6270000          4.98        -3.10         3.88        -0.18
2012  1   6330000          4.93        -3.19         3.76        -0.09
2012  1   6390000          4.94        -3.34         3.63         0.13
2012  1   6450000          4.71        -3.21         3.44         0.24
2012  1   6510000          4.82        -3.30         3.48         0.47
2012  1   6570000          5.09        -3.56         3.60         0.53
2012  1   6630000          5.01        -3.47         3.49         0.75
2012  1   6690000          4.66        -3.05         3.31         1.20
2012  1   6750000          5.05        -3.46         3.53         1.01
2012  1   6810000          5.24        -3.75         3.57         0.76
2012  1   6870000          5.27        -3.14         3.84         1.35
2012  1   6930000          5.68        -1.71         4.35         3.22
2012  1   6990000          5.64        -1.78         4.42         2.99
2012  1   7050000          5.77        -2.35         4.60         2.56
2012  1   7110000          5.72        -2.65         4.50         2.32
2012  1   7170000          5.70        -2.74         4.48         2.21
2012  1   7230000          5.63        -2.77         4.44         2.08
2012  1   7290000          5.56        -2.78         4.45         1.84
2012  1   7350000          5.52        -2.81         4.44         1.67
2012  1   7410000          5.66        -2.73         4.72         1.46
2012  1   7470000          5.70        -2.34         5.09         1.03
2012  1   7530000          5.40        -2.67         4.54         1.12
2012  1   7590000          5.32        -3.06         4.19         1.17
2012  1   7650000          5.37        -3.42         3.89         1.40
2012  1   7710000          5.56        -3.71         3.95         1.20
2012  1   7770000          5.69        -3.79         4.05         1.23
2012  1   7830000          5.86        -4.00         4.04         1.39
2012  1   7890000          5.88        -3.99         4.01         1.58
2012  1   7950000          5.96        -3.97         4.21         1.34
2012  1   8010000          6.11        -3.97         4.41         1.19
2012  1   8070000          6.19        -4.36         4.14         1.49
2012  1   8130000          6.30        -4.53         4.21         1.22
2012  1   8190000          6.37        -4.63         4.23         1.09
2012  1   8250000          6.47        -4.95         4.01         1.10
2012  1   8310000          6.49        -4.91         4.12         1.02
2012  1   8370000          6.37        -4.80         3.85         1.16
2012  1   8430000          6.11        -4.92         3.11         1.78
2012  1   8490000          5.98        -4.52         3.01         2.42
2012  1   8550000          6.12        -4.61         3.22         2.39
2012  1   8610000          6.12        -4.99         2.94         1.66
2012  1   8670000          6.50        -5.55         3.10        -1.25
2012  1   8730000          6.42        -5.34         2.65        -2.29
2012  1   8790000          5.60        -3.52         0.08        -4.32
2012  1   8850000          5.38        -2.98        -0.08        -4.46
2012  1   8910000          5.40        -2.94        -0.20        -4.52
2012  1   8970000          5.04        -2.65         2.34        -3.41
2012  1   9030000          5.13        -2.65         2.67        -3.46
2012  1   9090000          4.69        -2.92         3.30        -1.17
2012  1   9150000          4.95        -3.53         3.25        -1.16
2012  1   9210000          5.04        -3.87         2.80        -1.61
2012  1   9270000          5.19        -4.25         2.24        -1.95
2012  1   9330000          5.33        -4.24         1.92        -2.57
2012  1   9390000          5.39        -4.29         1.76        -2.74
2012  1   9450000          5.38        -4.35         1.26        -2.89
2012  1   9510000          5.35        -4.13         1.01        -3.21
2012  1   9570000          5.07        -3.70         1.12        -3.24
2012  1   9630000          5.07        -3.33         1.09        -3.64
2012  1   9690000          5.17        -3.42         0.72        -3.67
2012  1   9750000          5.17        -3.56         0.64        -3.67
2012  1   9810000          5.14        -3.65         0.70        -3.55
2012  1   9870000          5.28        -3.44         0.23        -3.90
2012  1   9930000          5.28        -3.02        -0.85        -4.17
2012  1   9990000          5.12        -3.26        -0.12        -3.93
2012  1  10050000          5.42        -3.56         0.54        -4.02
2012  1  10110000          5.60        -3.64         0.73        -4.16
2012  1  10170000          5.75        -3.74         1.69        -4.02
2012  1  10230000          5.56        -3.75         1.28        -3.90
2012  1  10290000          5.44        -3.63         0.49        -3.99
2012  1  10350000          5.01        -3.31         0.41        -3.70
2012  1  10410000          4.90        -3.05         1.42        -3.46
2012  1  10470000          4.76        -2.85         1.07        -3.65
2012  1  10530000          4.97        -2.57         1.50        -3.92
2012  1  10590000          5.09        -2.29         1.10        -4.40
2012  1  10650000          5.07        -2.33         1.08        -4.36
2012  1  10710000          5.01        -2.04         0.70        -4.52
2012  1  10770000          4.99        -1.90         0.50        -4.59
2012  1  10830000          5.05        -2.35         0.31        -4.45
2012  1  10890000          5.17        -2.66        -1.04        -4.13
2012  1  10950000          4.97        -2.87         0.05        -3.94
2012  1  11010000          4.94        -3.09        -0.97        -3.70
2012  1  11070000          4.90        -2.29        -1.04        -4.16
2012  1  11130000          4.89        -2.04        -1.39        -4.21
2012  1  11190000          4.91        -1.78        -1.52        -4.30
2012  1  11250000          5.00        -2.02        -1.24        -4.37
2012  1  11310000          5.09        -2.77        -1.34        -4.01
2012  1  11370000          5.29        -2.14        -1.88        -4.44
2012  1  11430000          5.17        -2.05        -1.74        -4.40
2012  1  11490000          5.13        -2.13        -1.68        -4.35
2012  1  11550000          4.97        -2.06        -1.29        -4.29
2012  1  11610000          4.65        -1.24        -1.75        -4.09
2012  1  11670000          4.45        -2.50         0.92        -2.05
2012  1  11730000          4.49        -2.23         3.76         0.78
2012  1  11790000          4.56        -2.31         3.83         0.82
2012  1  11850000          4.54        -2.53         3.75        -0.02
2012  1  11910000          4.64        -2.20         4.05         0.27
2012  1  11970000          4.54        -2.14         3.96         0.17
2012  1  12030000          4.49        -3.06         3.17        -0.73
2012  1  12090000          4.53        -3.25         2.88        -1.27
2012  1  12150000          4.46        -3.44         2.24        -1.72
2012  1  12210000          4.41        -3.30         2.16        -1.94
2012  1  12270000          4.45        -3.40         2.05        -2.01
2012  1  12330000          4.50        -3.55         1.87        -2.01
2012  1  12390000          4.66        -3.53         2.03        -2.24
2012  1  12450000          4.38        -3.29         1.67        -2.25
2012  1  12510000          4.09        -2.84        -0.87        -2.42
2012  1  12570000          4.03        -2.73        -1.79        -2.35
2012  1  12630000          4.40        -3.68        -0.67        -2.28
2012  1  12690000          4.34        -3.75        -0.41        -2.15
2012  1  12750000          4.21        -3.52        -0.69        -2.18
2012  1  12810000          4.25        -3.42        -0.78        -2.39
2012  1  12870000          4.39        -3.53        -0.51        -2.49
2012  1  12930000          4.50        -3.51         1.47        -2.36
2012  1  12990000          4.48        -3.47         1.56        -2.35
2012  1  13050000          4.58        -3.39         1.90        -2.38
2012  1  13110000          4.65        -3.23         2.28        -2.45
2012  1  13170000          4.74        -3.28         2.34        -2.48
2012  1  13230000          4.70        -3.23         2.50        -2.31
2012  1  13290000          4.71        -3.22         2.60        -2.22
2012  1  13350000          4.52        -2.76         2.90        -2.09
2012  1  13410000          4.45        -2.10         3.05        -2.45
2012  1  13470000          4.49        -2.10         3.28        -2.24
2012  1  13530000          4.48        -2.15         3.43        -1.90
2012  1  13590000          4.42        -2.35         3.24        -1.86
2012  1  13650000          4.51        -3.15         2.36        -2.05
2012  1  13710000          4.59        -3.76         1.57        -2.09
2012  1  13770000          4.56        -3.61         1.87        -2.03
2012  1  13830000          4.51        -3.60         2.10        -1.70
2012  1  13890000          4.55        -3.89         2.00        -1.25
2012  1  13950000          4.56        -3.97         1.90        -1.16
2012  1  14010000          4.56        -3.78         2.08        -1.45
2012  1  14070000          4.11        -3.34         1.66         0.09
2012  1  14130000          4.05        -3.75         1.32         0.58
2012  1  14190000          4.00        -3.82         1.17         0.08
2012  1  14250000          4.05        -3.95         0.85        -0.00
2012  1  14310000          4.11        -4.07         0.60        -0.11
2012  1  14370000          4.04        -3.99         0.60         0.21
2012  1  14430000          4.08        -4.01         0.70        -0.25
2012  1  14490000          4.07        -3.95         0.78        -0.58
2012  1  14550000          4.58        -4.19         1.66        -0.67
2012  1  14610000          4.79        -4.37         1.17        -1.56
2012  1  14670000          4.78        -4.33         1.29        -1.54
2012  1  14730000          4.83        -4.41         1.24        -1.46
2012  1  14790000          4.85        -4.41         1.55        -1.28
2012  1  14850000          4.83        -4.39         1.53        -1.27
2012  1  14910000          4.85        -4.44         1.69        -0.96
2012  1  14970000          4.75        -4.26         1.86        -0.99
2012  1  15030000          4.73        -4.20         1.91        -1.04
2012  1  15090000          4.70        -4.12         1.95        -1.16
2012  1  15150000          4.68        -4.03         2.23        -0.83
2012  1  15210000          4.67        -4.10         2.03        -0.94
2012  1  15270000          4.41        -3.71         2.31        -0.31
2012  1  15330000          4.41        -3.72         2.34        -0.32
2012  1  15390000          4.21        -2.94         2.70         1.03
2012  1  15450000          3.90        -2.59         2.53         1.42
2012  1  15510000          4.08        -3.07         2.36         0.85
2012  1  15570000          4.36        -3.84         2.01        -0.05
2012  1  15630000          4.31        -3.83         1.95        -0.29
2012  1  15690000          4.38        -3.83         2.08        -0.38
2012  1  15750000          4.44        -3.72         2.35        -0.44
