Wind MFI (1 minute) and SWE (92 second) data, averaged to 92 second resolution, GSM coordinates
Year  DOY  millisecs            V          Vx          Vy          Vz      Vtheta        Vphi          Np         Vth         Psw          Pb         Pth        Beta          Va          Ma         Mms     Epsilon         VBs
                             km/s        km/s        km/s        km/s         deg         deg        cm^3        km/s         nPa         nPa         nPa                    km/s                             10^11 W        mV/m
2012  1    135437         387.7       -387.7          5.6         -3.4         -0.5        179.2          8.3         27.0      2.41150      0.00835      0.00504        0.603         34.7        11.16         8.08        0.135      0.00000
2012  1    230534         389.1       -389.0          5.3         -2.6         -0.4        179.2          8.7         27.8      2.55386      0.00813      0.00563        0.693         33.4        11.64         8.15        0.289      0.00000
2012  1    328699         388.3       -388.3          2.5         -2.0         -0.3        179.6          8.7         27.7      2.53945      0.00818      0.00558        0.682         33.6        11.57         8.13        0.358      0.00000
2012  1    428397         393.1       -393.1         -1.8          0.2          0.0        180.3          9.1         26.9      2.71641      0.00769      0.00546        0.710         31.9        12.34         8.58        0.223      0.00000
2012  1    521960         391.1       -391.0         -1.6          3.2          0.5        180.2          9.2         27.0      2.73101      0.00761      0.00563        0.740         31.4        12.44         8.56        0.247      0.00000
2012  1    623192         388.4       -388.4          3.4         -1.2         -0.2        179.5          8.8         26.0      2.56676      0.00822      0.00495        0.602         33.5        11.60         8.41        0.329      0.00000
2012  1    721356         387.1       -387.0          3.1         -1.8         -0.3        179.5          8.6         25.8      2.49140      0.00908      0.00478        0.526         35.6        10.87         8.13        0.590      0.20304
2012  1    814919         373.9       -373.7         -4.5          9.4          1.4        180.7          7.9         24.5      2.14115      0.01005      0.00396        0.394         39.0         9.58         7.60        1.098      0.96690
2012  1    918507         377.7       -377.6         -4.0          6.2          0.9        180.6          8.3         26.1      2.29511      0.00968      0.00472        0.488         37.4        10.11         7.68        0.827      0.61094
2012  1   1018917         385.7       -385.6         -6.6         -0.9         -0.1        181.0         10.4         31.5      2.99053      0.00881      0.00861        0.977         31.9        12.09         7.70        0.688      0.42304
2012  1   1114014         392.5       -392.5         -0.5         -1.8         -0.3        180.1          8.6         25.1      2.57453      0.00830      0.00455        0.548         33.9        11.56         8.57        0.451      0.05942
2012  1   1212178         391.9       -391.9         -1.6         -3.8         -0.6        180.2          8.9         25.5      2.65141      0.00766      0.00484        0.632         32.1        12.21         8.75        0.317      0.00000
2012  1   1307275         392.5       -392.4         -1.1         -3.0         -0.4        180.2          8.9         25.9      2.66152      0.00734      0.00498        0.679         31.4        12.50         8.80        0.424      0.09008
2012  1   1405439         391.1       -391.1          1.5         -5.8         -0.8        179.8          8.3         24.1      2.47638      0.00799      0.00406        0.508         33.8        11.56         8.71        0.433      0.05901
2012  1   1505278         388.2       -388.1         -8.4          1.1          0.2        181.2          7.5         25.1      2.19782      0.00885      0.00395        0.446         37.5        10.35         8.01        0.979      0.92475
2012  1   1603442         388.3       -388.2         -8.0          0.6          0.1        181.2          7.7         25.1      2.24147      0.00892      0.00402        0.451         37.3        10.40         8.04        0.926      0.84490
2012  1   2000561         390.5       -390.5         -3.3          2.1          0.3        180.5          8.4         27.2      2.47547      0.00800      0.00516        0.645         33.8        11.55         8.23        0.573      0.32587
2012  1   2097191         392.4       -392.3         -6.8          1.8          0.3        181.0          8.5         25.3      2.54873      0.00712      0.00457        0.642         31.6        12.42         8.87        0.695      0.61841
2012  1   2193822         392.8       -392.7         -5.8          6.8          1.0        180.8          8.0         25.9      2.38040      0.00836      0.00448        0.536         35.5        11.08         8.25        1.263      1.31914
2012  1   2290452         392.3       -392.2         -4.3          1.5          0.2        180.6          7.8         24.6      2.32813      0.00833      0.00394        0.473         35.7        10.98         8.39        1.027      1.01035
